
New Run at  03/30/2015 15:36:46
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241468400,531313.0;21331.0;1.13985271433
data,1241468700,531516.0;21341.0;1.13890546921
data,1241469000,531712.0;21352.0;1.13831550277
data,1241469300,531914.0;21357.0;1.13754824635
data,1241469300,532128.0;21366.0;1.1367902418
data,1241469600,532345.0;21376.0;1.1361918865
data,1241469900,532580.0;21385.0;1.13509460031
data,1241470200,532781.0;21397.0;1.13436993068
data,1241470200,533026.0;21407.0;1.13377655917
data,1241470500,533245.0;21412.0;1.13340751936
data,1241470800,533468.0;21424.0;1.13361466084
data,1241471100,533685.0;21436.0;1.13323469798
data,1241471400,533884.0;21443.0;1.13237368356
data,1241471400,534059.0;21450.0;1.13209560132
data,1241471700,534262.0;21458.0;1.131558805
data,1241472000,534478.0;21465.0;1.13083972721
data,1241472300,534675.0;21471.0;1.13010832493
data,1241472600,534887.0;21485.0;1.13000015978
data,1241472600,535073.0;21490.0;1.12939144922
data,1241472900,535272.0;21500.0;1.12863711652
data,1241473200,535458.0;21509.0;1.12820042547
data,1241473500,535654.0;21519.0;1.12782214036
data,1241473800,535879.0;21531.0;1.12745739062
data,1241474100,536064.0;21541.0;1.12711682108
data,1241474100,536248.0;21548.0;1.12654233874
data,1241474400,536447.0;21558.0;1.12614554002
data,1241474700,536636.0;21564.0;1.12579242529
data,1241475000,536825.0;21571.0;1.12518707767
data,1241475300,537056.0;21580.0;1.12471968782
data,1241475600,537257.0;21587.0;1.12457840134
data,1241475900,537432.0;21596.0;1.12410800716
data,1241476200,537638.0;21604.0;1.12386231116
data,1241476500,537832.0;21611.0;1.12341989029
data,1241476500,538021.0;21618.0;1.12270955598
data,1241476800,538236.0;21633.0;1.12280103412
data,1241477100,538439.0;21643.0;1.12251377523
data,1241477400,538633.0;21652.0;1.1221404412
data,1241477700,538852.0;21659.0;1.12161721549
data,1241478000,539078.0;21668.0;1.12115522651
data,1241478300,539282.0;21675.0;1.12107438978
data,1241478600,539508.0;21687.0;1.12118637831
data,1241478900,539749.0;21697.0;1.12110036636
data,1241479200,539988.0;21707.0;1.12119754769
data,1241479200,540243.0;21725.0;1.12112042856
data,1241479500,540480.0;21736.0;1.12112797425
data,1241479800,540712.0;21750.0;1.12110609005
data,1241480100,540912.0;21758.0;1.12074024235
data,1241480400,541161.0;21763.0;1.12023021466
data,1241480700,541408.0;21775.0;1.11986004743
data,1241481000,541621.0;21785.0;1.11940016402
