
New Run at  03/30/2015 14:51:21
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241190000,59883.0;3007.0;1.27514934387
data,1241190300,60915.0;3069.0;1.28079610135
data,1241190600,61914.0;3122.0;1.28410565076
data,1241190900,62911.0;3179.0;1.28722221581
data,1241191200,63904.0;3242.0;1.28953942616
data,1241191500,64901.0;3302.0;1.29091222253
data,1241191800,65888.0;3344.0;1.28752845898
data,1241191800,66885.0;3389.0;1.28379454683
data,1241192100,67873.0;3450.0;1.28203457257
data,1241192400,68875.0;3511.0;1.28777309138
data,1241192700,69893.0;3579.0;1.293664067
data,1241193000,70890.0;3638.0;1.29323741007
data,1241193300,71866.0;3686.0;1.28738542626
data,1241193600,72849.0;3745.0;1.29006174834
data,1241193600,73866.0;3798.0;1.29006422798
data,1241193900,74861.0;3857.0;1.29522695762
data,1241194200,75866.0;3933.0;1.30350219495
data,1241194500,76905.0;3993.0;1.30499011984
data,1241194800,77885.0;4041.0;1.30543159117
data,1241195100,78879.0;4088.0;1.3002113409
data,1241195400,79941.0;4143.0;1.29838608307
data,1241195400,80956.0;4222.0;1.30490666663
data,1241195700,81976.0;4297.0;1.31190101441
data,1241196000,82912.0;4352.0;1.31315247104
data,1241196300,83883.0;4416.0;1.31369393572
data,1241196600,84848.0;4466.0;1.31496887333
data,1241196900,85862.0;4528.0;1.3148748333
data,1241197200,86815.0;4599.0;1.31432645526
data,1241197500,87742.0;4665.0;1.31728281494
data,1241197500,88703.0;4727.0;1.3176901272
data,1241197800,89659.0;4785.0;1.3158117485
data,1241198100,90657.0;4852.0;1.31900278179
data,1241198400,91630.0;4903.0;1.31885009947
data,1241198700,92589.0;4964.0;1.32143902715
data,1241199000,93525.0;5010.0;1.32338543055
data,1241199300,94471.0;5063.0;1.32037630195
data,1241199600,95431.0;5111.0;1.31486205879
data,1241199600,96398.0;5170.0;1.3140477423
data,1241199900,97316.0;5224.0;1.30839868383
data,1241200200,98275.0;5281.0;1.31091767304
data,1241200500,99213.0;5336.0;1.31072125196
data,1241200800,100139.0;5381.0;1.30749393085
data,1241201100,101043.0;5435.0;1.30708644937
data,1241201400,102011.0;5484.0;1.30190384528
data,1241201700,102969.0;5538.0;1.29759469442
data,1241201700,103902.0;5597.0;1.29840145517
data,1241202000,104827.0;5636.0;1.29544094175
data,1241202300,105819.0;5691.0;1.29464359812
data,1241202600,106790.0;5761.0;1.29956812081
data,1241202900,107729.0;5822.0;1.3032922703
data,1241203200,108713.0;5869.0;1.30017423184
data,1241203500,109676.0;5924.0;1.30025067231
data,1241203800,110623.0;5996.0;1.30470789254
data,1241203800,111598.0;6050.0;1.30368180063
data,1241204100,112580.0;6104.0;1.30339438853
data,1241204400,113494.0;6159.0;1.30242395475
data,1241204700,114359.0;6219.0;1.30511878221
data,1241205000,115306.0;6284.0;1.30794043227
data,1241205300,116222.0;6341.0;1.31006866775
data,1241205600,117111.0;6383.0;1.30607076606
data,1241205900,118005.0;6447.0;1.31064267071
data,1241205900,118969.0;6497.0;1.30851246126
data,1241206200,119865.0;6552.0;1.306669484
data,1241206500,120807.0;6602.0;1.3012473028
data,1241206800,121651.0;6665.0;1.30523364579
data,1241207100,122546.0;6714.0;1.30495725229
data,1241207400,123458.0;6754.0;1.3004642251
data,1241207700,124433.0;6803.0;1.29712042823
data,1241207700,125353.0;6860.0;1.29721824688
data,1241208000,126245.0;6902.0;1.29494637247
data,1241208300,127121.0;6951.0;1.29447513549
data,1241208600,128053.0;7000.0;1.29012513871
data,1241208900,128983.0;7057.0;1.29134667482
data,1241209200,129909.0;7111.0;1.28952526769
data,1241209500,130778.0;7163.0;1.2906308054
data,1241209500,131633.0;7208.0;1.2906022056
data,1241209800,132513.0;7254.0;1.28915130275
data,1241210100,133400.0;7310.0;1.2893496142
data,1241210400,134263.0;7361.0;1.2890438895
data,1241210700,135144.0;7395.0;1.28682419129
data,1241211000,136052.0;7451.0;1.2873864392
data,1241211300,136955.0;7495.0;1.28702842235
data,1241211600,137858.0;7541.0;1.28283833547
data,1241211600,138840.0;7608.0;1.28463508189
data,1241211900,139709.0;7664.0;1.28529626176
