
New Run at  03/30/2015 22:55:48
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241925300,1961941.0;85352.0;1.21566514301
data,1241925900,1962839.0;85387.0;1.21569204955
data,1241926200,1963728.0;85418.0;1.21562987154
data,1241926800,1964655.0;85451.0;1.21554041523
data,1241927100,1965646.0;85484.0;1.21553530823
data,1241927700,1966589.0;85526.0;1.2157075604
data,1241928000,1967495.0;85573.0;1.21587398544
data,1241928600,1968419.0;85608.0;1.21573629087
data,1241928900,1969318.0;85632.0;1.21549998545
data,1241929500,1970194.0;85670.0;1.21551260812
data,1241930100,1971105.0;85703.0;1.21551540335
data,1241930700,1972055.0;85742.0;1.21553855445
data,1241931000,1973053.0;85768.0;1.2151227477
data,1241931600,1973940.0;85799.0;1.21515413019
data,1241932200,1974853.0;85830.0;1.21506041083
data,1241932800,1975789.0;85866.0;1.21491928094
data,1241933400,1976718.0;85891.0;1.21472739593
data,1241934000,1977643.0;85922.0;1.2146451075
data,1241934900,1978512.0;85953.0;1.21480813305
data,1241935500,1979440.0;85982.0;1.21472099801
data,1241936100,1980312.0;86019.0;1.21476031805
data,1241937000,1981307.0;86048.0;1.21470770083
data,1241937600,1982345.0;86082.0;1.21470800918
data,1241938500,1983309.0;86114.0;1.21465604544
data,1241938500,1983409.0;86117.0;1.21465618861
