
New Run at  03/16/2015 01:46:16
, Time, randomAccesses; randomClicks; ucb1Accesses; ucb1Clicks; ucb1CTRRatio 
data,1241812800,1716605.0;62057.0;1718757.0;68029.0;1.09486154811
data,1241813100,1717500.0;62082.0;1719658.0;68046.0;1.09469103811
data,1241813400,1718344.0;62119.0;1720602.0;68063.0;1.094249405
data,1241813700,1719161.0;62145.0;1721518.0;68083.0;1.09405076527
data,1241814000,1720024.0;62173.0;1722424.0;68109.0;1.09394910864
data,1241814300,1720953.0;62203.0;1723370.0;68128.0;1.09371656551
data,1241814300,1721851.0;62230.0;1724287.0;68150.0;1.0935838109
data,1241814600,1722734.0;62260.0;1725195.0;68172.0;1.09339467191
data,1241814900,1723632.0;62285.0;1726042.0;68194.0;1.0933416325
data,1241815200,1724548.0;62323.0;1726961.0;68217.0;1.09304243456
data,1241815500,1725415.0;62350.0;1727903.0;68243.0;1.09293884846
data,1241815800,1726365.0;62392.0;1728844.0;68259.0;1.09246574884
data,1241816100,1727265.0;62422.0;1729729.0;68283.0;1.0923349272
data,1241816400,1728191.0;62449.0;1730727.0;68306.0;1.09218582477
data,1241816700,1729050.0;62480.0;1731644.0;68324.0;1.09189581874
data,1241817000,1729951.0;62506.0;1732596.0;68343.0;1.09171386473
data,1241817300,1730854.0;62533.0;1733499.0;68363.0;1.09156270547
data,1241817600,1731782.0;62559.0;1734419.0;68381.0;1.09140225943
data,1241817900,1732657.0;62592.0;1735319.0;68395.0;1.09103529614
data,1241818200,1733569.0;62616.0;1736211.0;68421.0;1.09104515555
data,1241818500,1734473.0;62645.0;1737088.0;68434.0;1.090765104
data,1241818800,1735416.0;62668.0;1738017.0;68458.0;1.09075685096
data,1241819100,1736320.0;62705.0;1738910.0;68478.0;1.09043945795
data,1241819400,1737265.0;62741.0;1739844.0;68499.0;1.09015576387
data,1241819700,1738193.0;62772.0;1740710.0;68523.0;1.0900388448
data,1241820000,1739091.0;62809.0;1741674.0;68541.0;1.08964240573
data,1241820300,1739966.0;62833.0;1742573.0;68560.0;1.08951394778
data,1241820600,1740878.0;62861.0;1743471.0;68578.0;1.0893241672
data,1241820900,1741792.0;62883.0;1744382.0;68595.0;1.08921572508
data,1241821200,1742615.0;62911.0;1745274.0;68616.0;1.08902196075
data,1241821500,1743462.0;62937.0;1746182.0;68639.0;1.08889972701
data,1241821800,1744292.0;62969.0;1747071.0;68657.0;1.08859581536
data,1241822100,1745171.0;63007.0;1747910.0;68675.0;1.08825027841
data,1241822400,1746080.0;63045.0;1748779.0;68695.0;1.08793685003
data,1241822700,1746992.0;63072.0;1749662.0;68715.0;1.08780663829
data,1241823300,1747920.0;63093.0;1750490.0;68737.0;1.08785575361
data,1241823600,1748753.0;63117.0;1751290.0;68756.0;1.0877639442
data,1241823900,1749589.0;63150.0;1751910.0;68773.0;1.0875991575
data,1241824200,1750445.0;63175.0;1752758.0;68799.0;1.08758544461
data,1241824500,1751245.0;63201.0;1753630.0;68825.0;1.08750487365
data,1241824800,1752123.0;63227.0;1754487.0;68841.0;1.08732414113
data,1241825100,1752990.0;63252.0;1755324.0;68855.0;1.08713472518
data,1241825700,1753897.0;63280.0;1756163.0;68865.0;1.08685433934
data,1241826000,1754741.0;63311.0;1757037.0;68878.0;1.08650935842
data,1241826300,1755531.0;63346.0;1757907.0;68894.0;1.08611249904
data,1241826600,1756358.0;63386.0;1758787.0;68911.0;1.0856629129
data,1241826900,1757186.0;63413.0;1759649.0;68924.0;1.08538511538
data,1241827500,1758069.0;63447.0;1760493.0;68942.0;1.08511158374
data,1241827800,1758895.0;63481.0;1761389.0;68961.0;1.0847868841
data,1241828100,1759789.0;63517.0;1762292.0;68976.0;1.08440311625
data,1241828400,1760650.0;63553.0;1763182.0;68995.0;1.08407031006
data,1241828700,1761493.0;63584.0;1764018.0;69005.0;1.08370386959
data,1241829300,1762347.0;63619.0;1764883.0;69019.0;1.08332141419
data,1241829600,1763194.0;63644.0;1765824.0;69035.0;1.08309000039
data,1241829900,1764026.0;63661.0;1766689.0;69047.0;1.08296952191
data,1241830200,1764914.0;63680.0;1767544.0;69058.0;1.08283991546
data,1241830500,1765809.0;63725.0;1768425.0;69068.0;1.08224133264
data,1241831100,1766605.0;63753.0;1769280.0;69081.0;1.08193426878
data,1241831400,1767505.0;63789.0;1770150.0;69127.0;1.08206287607
data,1241831700,1768369.0;63822.0;1771042.0;69168.0;1.08212851452
data,1241832000,1769190.0;63846.0;1771911.0;69205.0;1.08227182147
data,1241832300,1770008.0;63872.0;1772792.0;69263.0;1.08270023005
data,1241832900,1770904.0;63906.0;1773623.0;69296.0;1.08268030901
data,1241833200,1771752.0;63945.0;1774508.0;69331.0;1.08254471139
data,1241833500,1772620.0;63973.0;1775393.0;69378.0;1.08279489734
data,1241833800,1773508.0;64007.0;1776259.0;69420.0;1.08288913771
data,1241834100,1774392.0;64037.0;1777142.0;69461.0;1.08302253503
data,1241834700,1775283.0;64060.0;1778056.0;69495.0;1.08315044946
data,1241835000,1776147.0;64097.0;1778949.0;69530.0;1.08305356224
data,1241835300,1777008.0;64122.0;1779833.0;69574.0;1.08330323804
data,1241835600,1777889.0;64151.0;1780700.0;69616.0;1.0834765583
data,1241835900,1778662.0;64176.0;1781188.0;69636.0;1.08353972489
data,1241836500,1779494.0;64207.0;1782081.0;69653.0;1.08324460848
data,1241836800,1780353.0;64240.0;1782949.0;69673.0;1.08299431952
data,1241837100,1781203.0;64263.0;1783837.0;69686.0;1.08278639634
data,1241837400,1782044.0;64301.0;1784786.0;69708.0;1.08242338844
data,1241838000,1782885.0;64335.0;1785639.0;69727.0;1.08213973261
data,1241838300,1783773.0;64362.0;1786525.0;69769.0;1.08233936782
data,1241838600,1784629.0;64381.0;1787383.0;69800.0;1.0825003052
data,1241839200,1785511.0;64408.0;1788272.0;69846.0;1.0827562006
data,1241839500,1786378.0;64435.0;1789105.0;69897.0;1.0831141645
data,1241839800,1787245.0;64467.0;1789944.0;69940.0;1.08326026779
data,1241840400,1788144.0;64502.0;1790843.0;69976.0;1.08323057221
data,1241840700,1788975.0;64521.0;1791669.0;70016.0;1.0835343861
data,1241841300,1789905.0;64550.0;1792505.0;70048.0;1.08360025546
data,1241841600,1790771.0;64575.0;1793432.0;70091.0;1.08380956506
data,1241842200,1791633.0;64600.0;1794294.0;70148.0;1.08427195189
data,1241842500,1792538.0;64632.0;1795221.0;70190.0;1.08437150938
data,1241843100,1793392.0;64660.0;1796051.0;70240.0;1.08468932528
data,1241843400,1794300.0;64678.0;1796951.0;70276.0;1.08494887678
data,1241844000,1795139.0;64704.0;1797806.0;70322.0;1.08521388293
data,1241844300,1796009.0;64726.0;1798709.0;70372.0;1.08559722889
data,1241844900,1796903.0;64757.0;1799627.0;70417.0;1.08575773306
data,1241845500,1797725.0;64778.0;1800480.0;70453.0;1.08594270458
data,1241846100,1798655.0;64809.0;1801368.0;70490.0;1.0860194817
data,1241846700,1799517.0;64836.0;1802245.0;70537.0;1.08628278153
data,1241847300,1800426.0;64857.0;1803090.0;70564.0;1.08638611487
data,1241847900,1801319.0;64895.0;1803948.0;70607.0;1.08643347326
data,1241848500,1802154.0;64914.0;1804834.0;70640.0;1.08659313224
data,1241849100,1802991.0;64947.0;1805707.0;70690.0;1.08678882408
data,1241849700,1803867.0;64967.0;1806562.0;70732.0;1.08711319817
data,1241850600,1804732.0;64992.0;1807419.0;70767.0;1.08723834038
data,1241851200,1805604.0;65019.0;1808253.0;70798.0;1.08728655438
data,1241852100,1806462.0;65030.0;1809093.0;70826.0;1.08754415403
data,1241852100,1806587.0;65032.0;1809234.0;70831.0;1.08757797235
