
New Run at  04/02/2015 03:48:12
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241916000,1933592.0;104286.0;1.49918665381
data,1241916600,1934515.0;104328.0;1.49909983359
data,1241916900,1935443.0;104383.0;1.49927510283
data,1241917500,1936380.0;104433.0;1.49941290375
data,1241917800,1937285.0;104473.0;1.49926157063
data,1241918100,1938182.0;104511.0;1.49924879405
data,1241918700,1939082.0;104545.0;1.4990912912
data,1241919000,1939995.0;104582.0;1.49901564092
data,1241919600,1940892.0;104622.0;1.49889776208
data,1241919900,1941823.0;104675.0;1.49893066235
data,1241920200,1942769.0;104706.0;1.49851693928
data,1241920800,1943680.0;104753.0;1.49843786964
data,1241921100,1944557.0;104794.0;1.49829066606
data,1241921400,1945438.0;104843.0;1.49797752079
data,1241922000,1946385.0;104882.0;1.49801591771
data,1241922300,1947244.0;104926.0;1.49811166593
data,1241922900,1948158.0;104965.0;1.49767568408
data,1241923200,1949046.0;105003.0;1.49753627389
data,1241923500,1949969.0;105050.0;1.49754885163
data,1241924100,1950868.0;105084.0;1.49750738677
data,1241924400,1951736.0;105135.0;1.49778554668
data,1241925000,1952597.0;105180.0;1.49791818769
data,1241925300,1953485.0;105228.0;1.49803413432
data,1241925900,1954345.0;105270.0;1.49782846048
data,1241926200,1955232.0;105304.0;1.49783102871
data,1241926800,1956154.0;105343.0;1.49778339682
data,1241927100,1957045.0;105383.0;1.4977163997
data,1241927700,1957970.0;105427.0;1.49774460981
data,1241928000,1958861.0;105467.0;1.49780291092
data,1241928600,1959771.0;105507.0;1.49778637514
data,1241928900,1960360.0;105534.0;1.4977648047
data,1241929500,1961265.0;105591.0;1.49770277411
data,1241930100,1962207.0;105632.0;1.497731643
data,1241930700,1963131.0;105672.0;1.49756089062
data,1241931000,1964013.0;105709.0;1.49753017043
data,1241931600,1964882.0;105743.0;1.49746094538
data,1241932200,1965764.0;105770.0;1.49712827763
data,1241932800,1966640.0;105814.0;1.49722719287
data,1241933400,1967593.0;105843.0;1.4970808342
data,1241934000,1968522.0;105885.0;1.49696476293
data,1241934900,1969407.0;105923.0;1.49689498823
data,1241935500,1970336.0;105957.0;1.4967429212
data,1241936100,1971268.0;105995.0;1.49665743559
data,1241937000,1972205.0;106025.0;1.49661108341
data,1241937600,1973237.0;106052.0;1.49629630565
data,1241938500,1974291.0;106093.0;1.49589278631
data,1241938500,1974385.0;106097.0;1.49591223744
