
New Run at  03/31/2015 19:59:12
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241451600,666464.0;29333.0;1.29303788861
data,1241451900,667457.0;29377.0;1.29281474205
data,1241451900,668516.0;29420.0;1.29211879216
data,1241452200,669532.0;29457.0;1.29178253689
data,1241452500,670532.0;29488.0;1.29076645546
data,1241452800,671601.0;29531.0;1.29024054264
data,1241453100,672641.0;29574.0;1.28950456782
data,1241453100,673685.0;29617.0;1.28885606548
data,1241453400,674726.0;29678.0;1.28841649878
data,1241453700,675798.0;29728.0;1.28793079857
data,1241454000,676919.0;29791.0;1.28844145661
data,1241454000,677979.0;29843.0;1.2884523815
data,1241454300,679026.0;29902.0;1.28835411672
data,1241454600,680113.0;29967.0;1.28893264859
data,1241454900,681150.0;30020.0;1.2886155715
data,1241455200,682202.0;30070.0;1.2885484713
data,1241455200,683262.0;30125.0;1.28867180164
data,1241455500,684313.0;30185.0;1.28849970901
data,1241455800,685205.0;30235.0;1.28860865431
data,1241456100,686242.0;30298.0;1.28900306428
data,1241456400,687213.0;30362.0;1.28918313236
data,1241456400,688199.0;30435.0;1.29034945239
data,1241456700,689175.0;30507.0;1.29119393939
data,1241457000,690194.0;30596.0;1.29249129158
data,1241457300,691189.0;30673.0;1.29349310987
data,1241457300,692122.0;30732.0;1.29411958545
data,1241457600,693139.0;30793.0;1.29436317897
data,1241457900,694139.0;30863.0;1.29503263118
data,1241458200,695145.0;30931.0;1.29550123885
data,1241458500,696189.0;31013.0;1.2967755909
data,1241458500,697192.0;31056.0;1.2955895164
data,1241458800,698244.0;31109.0;1.29525717424
data,1241459100,699273.0;31169.0;1.29602385919
data,1241459400,700260.0;31212.0;1.29579899002
data,1241459700,701283.0;31283.0;1.29625215041
data,1241459700,702250.0;31319.0;1.29591229946
data,1241460000,703259.0;31357.0;1.29512664484
data,1241460300,704276.0;31408.0;1.29452320967
data,1241460600,705251.0;31458.0;1.29419030293
data,1241460900,706275.0;31504.0;1.29366173322
data,1241460900,707269.0;31552.0;1.29350509912
data,1241461200,708245.0;31596.0;1.29281330911
