
New Run at  03/23/2015 19:48:32
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241226900,180614.0;9651.0;1.26226980802
data,1241227500,181527.0;9689.0;1.26245439197
data,1241227800,182411.0;9735.0;1.26386292493
data,1241228100,183336.0;9776.0;1.2632888461
data,1241228400,184266.0;9823.0;1.26251706843
data,1241228700,185190.0;9874.0;1.2643788183
data,1241229000,186088.0;9915.0;1.26491668232
data,1241229600,187028.0;9951.0;1.263511865
data,1241229900,187932.0;9996.0;1.26421403122
data,1241230200,188870.0;10030.0;1.26491849794
data,1241230500,189810.0;10068.0;1.26325574378
data,1241230800,190754.0;10110.0;1.26434563844
data,1241231100,191687.0;10154.0;1.26150336289
data,1241231700,192587.0;10187.0;1.26076684135
data,1241232000,193536.0;10233.0;1.26296033785
data,1241232300,194423.0;10275.0;1.26180810812
data,1241232600,195369.0;10317.0;1.25983401503
data,1241233200,196262.0;10354.0;1.25983574942
data,1241233500,197192.0;10396.0;1.25984143219
data,1241233800,198093.0;10430.0;1.26045824793
data,1241234100,198967.0;10465.0;1.25961738769
data,1241234700,199848.0;10504.0;1.25974443946
data,1241235000,200771.0;10547.0;1.25968079397
data,1241235300,201724.0;10590.0;1.25883371635
data,1241235900,202626.0;10621.0;1.25689740574
data,1241236200,203532.0;10668.0;1.25876016952
data,1241236800,204408.0;10703.0;1.25758577719
data,1241237100,205318.0;10752.0;1.25718478977
data,1241237700,206176.0;10788.0;1.25636407511
data,1241238000,207112.0;10823.0;1.25470462569
data,1241238600,208011.0;10848.0;1.25284442935
data,1241238900,208855.0;10875.0;1.2513584609
data,1241239500,209706.0;10906.0;1.25104530283
data,1241240100,210599.0;10940.0;1.25024644265
data,1241240700,211513.0;10980.0;1.25065093953
data,1241241300,212438.0;11009.0;1.24929375122
data,1241241600,213380.0;11053.0;1.25057364714
data,1241242500,214291.0;11092.0;1.25140357291
data,1241243100,215180.0;11127.0;1.25195447535
data,1241243700,216082.0;11168.0;1.25146319023
data,1241244300,216971.0;11203.0;1.25147594312
data,1241244900,217926.0;11224.0;1.24915260471
data,1241245800,218843.0;11255.0;1.24752673647
data,1241246400,219764.0;11284.0;1.24709390059
data,1241247300,220729.0;11315.0;1.24710137976
data,1241247300,220818.0;11317.0;1.24704642373
