Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,15.6946363409,10.6309890289,14.4302758319,15.8313602473
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
0,15.882220803,7.75861970519,15.6769901232,16.9866093995
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
Time(Iteration),syncCoLinUCB,GOBLin,AsyncCoLinUCB,LinUCB
100,57.8667202932,51.9092070959,51.8548356634,63.0598018909
110,59.0041051106,58.5873869378,57.7098098515,68.4777284546
60,56.495321847,50.5665713812,58.3425444762,63.6536151805
60,54.6600010733,41.3049729109,54.7842432383,57.6545495738
110,58.597298011,52.9068324728,52.6151247486,63.8531737763
70,58.2045803142,48.9157761175,56.4503020853,61.0740398583
120,59.6104192771,59.0688941539,58.2554763048,69.1417521643
70,58.0910862498,47.2245366101,56.8488343449,61.7200862724
70,62.7609197409,53.2463422355,62.5217252303,65.8380032832
70,57.5987388221,51.7939275476,59.3727347879,64.8752013375
120,59.0834170456,53.5513157498,53.1122882848,64.3676350854
70,55.4711371104,42.3023983442,55.6220956886,58.6392291509
130,60.3218396589,59.6977685373,58.8985267334,69.7899479323
80,59.2984343933,50.4014606794,57.57965591,62.2461201046
80,59.3463454761,48.3982175357,58.0734937992,62.9447457266
130,59.576393622,54.2223820331,53.6329506793,64.9788509699
80,58.356774637,52.4441925511,60.1396994412,65.5961356552
80,63.485850785,54.0876009739,63.3787656952,66.6688168918
140,60.877155175,60.1633950945,59.4511740297,70.3707468009
80,56.6218150564,43.0084293701,56.7594321977,59.8541890394
90,59.9830348399,51.179470833,58.3301335106,63.0123759035
140,60.0495585324,54.8530569585,54.2998069125,65.6893822774
90,60.1785713567,49.3422850773,58.8793021054,63.7914009389
150,61.3705308594,61.0372770229,60.0287223652,71.1156858157
90,58.9626638907,53.1253633265,60.6775585118,66.2414592197
90,64.0479402919,54.9229199291,64.1219313992,67.5300072353
90,57.5906568672,43.8191660015,57.799386673,60.9802427913
100,60.6391015554,52.0463256979,58.9840914875,63.6615318209
150,60.4571788956,55.4405851133,54.6976084475,66.1043900352
160,61.8677723029,61.6121602982,60.4831236954,71.6937467731
100,61.00419745,50.1719294931,59.9760983954,64.9604250308
100,59.5108382307,53.7554802618,61.2349672189,66.8726083914
100,58.2837168359,44.5447406487,58.375493454,61.6829302593
170,62.3208274096,61.9710331573,60.9713961296,72.2142302076
100,64.381112967,55.5135881059,64.6116676613,68.0581054922
160,60.6996155006,56.0701718409,54.9637186681,66.3729712247
110,61.5467972842,52.6130877178,59.8745632854,64.5912320508
110,61.6848145567,50.8902762423,60.6391065702,65.6234332056
180,62.7473901397,62.4795445337,61.3687278058,72.6695402131
110,58.7445076627,44.9739589113,58.8662688733,62.1545543746
170,60.9248991386,56.5815183474,55.2711972896,66.7368359901
110,60.1288935487,54.5311621205,61.9751636974,67.6745936435
120,62.7322992686,51.6172696006,61.583671416,66.642210218
110,64.9067190144,56.2382390984,65.134191645,68.7205692073
190,63.1897189642,62.7144152264,61.7779251761,73.1057155569
120,62.1764025972,53.3467683603,60.6042056852,65.3121807261
180,61.1627604711,56.9327883694,55.5443928785,67.068844822
120,59.0870820217,45.346575225,59.2088432322,62.5209156603
